symbol,company_name,cik,sector,sub_industry,hq,founded,sp_entry_date,sp_exit_date
DISH,,0001001082,Communication Services,,,,2017-03-13,2023-06-20
DJ,,0000029924,Communication Services,,,,1996-01-02,2007-12-14
DLR,Digital Realty,0001297996,Real Estate,Data Center REITs,"Austin, Texas",2004,2016-05-18,
DLTR,Dollar Tree,0000935703,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",1986,2011-12-19,
DLX,DELUXE CORP,0000027996,Communication Services,,,,1996-01-02,2004-12-20
DNB,,0001115222,Financials,,,,2008-12-02,2017-04-05
DNR,,0000945764,Energy,,,,2009-04-02,2015-03-23
DO,,0000949039,Energy,,,,2009-02-26,2016-10-03
DOC,Healthpeak Properties,0000765880,Real Estate,Health Care REITs,"Denver, Colorado",1985,2008-03-31,2024-03-04
DOV,Dover Corporation,0000029905,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1955,1996-01-02,
DOW,Dow Inc.,0001751788,Materials,Commodity Chemicals,"Midland, Michigan",2019 (1897),1996-01-02,2017-09-01
DPHIQ,,0001072342,Consumer Discretionary,,,,1999-05-28,2005-10-11
DPZ,Domino's,0001286681,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",1960,2020-05-12,
DRE,,0000783280,Real Estate,,,,2017-07-26,2022-10-03
DRI,Darden Restaurants,0000940944,Consumer Discretionary,Restaurants,"Orlando, Florida",1938,1996-01-02,
DTE,DTE Energy,0000936340,Utilities,Multi-Utilities,"Detroit, Michigan",1995,1996-01-02,
DTV,,0000944868,Communication Services,,,,2006-12-04,2015-07-27
DUK,Duke Energy,0001326160,Utilities,Electric Utilities,"Charlotte, North Carolina",1904,1996-01-02,
DVA,DaVita,0000927066,Health Care,Health Care Services,"Denver, Colorado",1979,2008-07-31,
DVN,Devon Energy,0001090012,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1971,2000-08-30,
DXC,DXC Technology Co,0001688568,Information Technology,,,,1996-01-02,2023-10-02
DXCM,Dexcom,0001093557,Health Care,Health Care Equipment,"San Diego, California",1999,2020-05-12,
DYN,"Dyne Therapeutics, Inc.",0001818794,Health Care,,,,2000-10-03,2009-12-21
EA,Electronic Arts,0000712515,Communication Services,Interactive Home Entertainment,"Redwood City, California",1982,2002-07-22,
EBAY,eBay Inc.,0001065088,Consumer Discretionary,Broadline Retail,"San Jose, California",1995,2002-07-22,
ECL,Ecolab,0000031462,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1923,1996-01-02,
ED,Consolidated Edison,0001047862,Utilities,Multi-Utilities,"New York City, New York",1823,1996-01-02,
EDS,,0001007456,Information Technology,,,,1998-08-11,2008-08-26
EFX,Equifax,0000033185,Industrials,Research & Consulting Services,"Atlanta, Georgia",1899,1997-06-19,
EG,Everest Group,0001095073,Financials,Reinsurance,"Hamilton, Bermuda",1973,2017-06-19,2023-07-10
EHC,Encompass Health Corp,0000785161,Health Care,,,,1997-01-08,2003-03-21
EIX,Edison International,0000827052,Utilities,Electric Utilities,"Rosemead, California",1886,1996-01-02,
EKDKQ,,0000031235,Health Care,,,,1996-01-02,2010-12-20
EL,Estée Lauder Companies (The),0001001250,Consumer Staples,Personal Care Products,"New York City, New York",1946,2006-01-05,
ELV,Elevance Health,0001156039,Health Care,Managed Health Care,"Indianapolis, Indiana",2014 (1946),2002-07-25,2022-06-28
EMC,,0000790070,Information Technology,,,,1996-03-28,2016-09-07
EME,Emcor,0000105634,Industrials,Construction & Engineering,"Norwalk, Connecticut",1994,2025-09-22,
EMN,EASTMAN CHEMICAL CO,0000915389,Materials,,,,1996-01-02,2025-11-04
EMR,Emerson Electric,0000032604,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1890,1996-01-02,
ENDP,,0001593034,Health Care,,,,2015-01-27,2017-03-02
ENPH,"Enphase Energy, Inc.",0001463101,Information Technology,,,,2021-01-07,2025-09-22
ENRNQ,,0001024401,Financials,,,,1996-01-02,2001-11-30
ENS,EnerSys,0001289308,Industrials,,,,1996-01-02,1997-08-06
EOG,EOG Resources,0000821189,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1999,2000-11-02,
EOP,,0001038339,Real Estate,,,,2001-10-10,2007-02-12
EP,EMPIRE PETROLEUM CORP,0001066107,Energy,,,,1999-10-26,2012-05-25
EPAM,"EPAM Systems, Inc.",0001352010,Information Technology,,,,2021-12-14,2026-06-02
EQ,"Equillium, Inc.",0001746466,Health Care,,,,2006-05-18,2009-07-01
EQIX,Equinix,0001101239,Real Estate,Data Center REITs,"Redwood City, California",1998,2015-03-23,
EQR,Equity Residential,0000906107,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",1969,2001-12-03,
EQT,EQT Corporation,0000033213,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",1888,2008-12-19,2018-11-13
ERIE,Erie Indemnity,0000922621,Financials,Insurance Brokers,"Erie, Pennsylvania",1925,2024-09-23,
ES,Eversource Energy,0000072741,Utilities,Electric Utilities,"Hartford, Connecticut",1966,2009-03-17,
ESRX,,0000885721,Consumer Staples,,,,2003-09-26,2018-12-21
ESS,Essex Property Trust,0000920522,Real Estate,Multi-Family Residential REITs,"San Mateo, California",1971,2014-04-02,
ESV,,0000314808,Energy,,,,2007-01-04,2016-03-30
ETFC,,0001015780,Financials,,,,2004-04-01,2020-10-07
ETN,Eaton Corporation,0001551182,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1911,1996-01-02,
ETR,Entergy,0000065984,Utilities,Electric Utilities,"New Orleans, Louisiana",1913,1996-01-02,
ETS,Elite Express Holding Inc.,0002053641,Industrials,,,,1996-01-02,2001-08-06
ETSY,ETSY INC,0001370637,Consumer Discretionary,,,,2020-09-21,2024-09-23
EVHC,,0001678531,Health Care,,,,2016-12-02,2018-10-11
EVRG,Evergy,0001711269,Utilities,Electric Utilities,"Kansas City, Missouri",1909,2018-06-05,
EW,Edwards Lifesciences,0001099800,Health Care,Health Care Equipment,"Irvine, California",1958,2011-04-01,
EXC,Exelon,0001109357,Utilities,Electric Utilities,"Chicago, Illinois",2000,1996-01-02,
EXE,Expand Energy,0000895126,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1989,2006-03-03,2018-03-19
EXPD,Expeditors International,0000746515,Industrials,Air Freight & Logistics,"Seattle, Washington",1979,2007-10-10,
EXPE,Expedia Group,0001324424,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",1996,2007-10-02,
EXR,Extra Space Storage,0001289490,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",1977,2016-01-19,
F,Ford Motor Company,0000037996,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1903,1996-01-02,
FANG,Diamondback Energy,0001539838,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2007,2018-12-03,
FAST,Fastenal,0000815556,Industrials,Trading Companies & Distributors,"Winona, Minnesota",1967,2008-09-15,
FBF,,0000050341,Financials,,,,1996-01-02,2004-04-01
FBHS,,0001519751,Industrials,,,,2016-06-24,2022-12-19
FCN,"FTI CONSULTING, INC",0000887936,Industrials,,,,1996-01-02,1998-10-02
FCPT,"Four Corners Property Trust, Inc.",0001650132,Real Estate,,,,2015-11-10,2015-11-17
FCX,Freeport-McMoRan,0000831259,Materials,Copper,"Phoenix, Arizona",1912,1996-01-02,
FD,"Macy's, Inc.",0000794367,Consumer Discretionary,,,,1996-01-02,2020-04-06
FDC,,0000883980,Industrials,,,,1996-01-02,2007-09-25
FDO,,0000034408,Consumer Staples,,,,2001-08-06,2015-07-07
FDS,FactSet,0001013237,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",1978,2021-12-20,
FDX,FedEx,0001048911,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1971,1996-01-02,
FE,FirstEnergy,0001031296,Utilities,Electric Utilities,"Akron, Ohio",1997,1996-01-02,
FFIV,"F5, Inc.",0001048695,Information Technology,Communications Equipment,"Seattle, Washington",1996,2010-12-20,
FG,"F&G Annuities & Life, Inc.",0001934850,Financials,,,,1996-01-02,1998-04-27
FHN,FIRST HORIZON CORP,0000036966,Financials,,,,2002-05-06,2013-06-24
FICO,Fair Isaac,0000814547,Information Technology,Application Software,"Bozeman, Montana",1956,2023-03-20,
FII,,0001056288,Financials,,,,2003-04-16,2013-01-02
FIS,Fidelity National Information Services,0001136893,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",1968,2006-11-10,
FISV,Fiserv,0000798354,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",1984,2001-04-02,2025-11-11
FITB,Fifth Third Bancorp,0000035527,Financials,Regional Banks,"Cincinnati, Ohio",1858,1996-03-08,
FIX,Comfort Systems USA,0001035983,Industrials,Construction & Engineering,"Houston, Texas",1997,2025-12-22,
FL,,0000850209,Consumer Discretionary,,,,1996-01-02,2019-08-09
FLIR,,0000354908,Industrials,,,,2009-01-02,2021-05-14
FLR,FLUOR CORP,0001124198,Industrials,,,,2000-12-22,2019-06-03
FLS,FLOWSERVE CORP,0000030625,Industrials,,,,2008-10-02,2021-03-22
FLTWQ,,0000771298,Consumer Discretionary,,,,1996-01-02,2000-01-31
FMC,FMC CORP,0000037785,Materials,,,,1996-01-02,2025-03-24
FMCC,FEDERAL HOME LOAN MORTGAGE CORP,0001026214,Financials,,,,1996-01-02,2008-09-11
FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,0000310522,Financials,,,,1996-01-02,2008-09-11
FOSL,"Fossil Group, Inc.",0000883569,Health Care,,,,2012-04-04,2016-01-05
FOXA,Fox Corporation (Class A),0001754301,Communication Services,Broadcasting,"New York City, New York",2019,2004-12-20,
FRT,Federal Realty Investment Trust,0000034903,Real Estate,Retail REITs,"Rockville, Maryland",1962,2016-02-01,
FRX,,0000038074,Health Care,,,,2000-11-22,2014-07-01
FSH,,0000880430,Industrials,,,,2004-08-03,2006-11-10
FSL,,0001272547,Information Technology,,,,2004-12-03,2006-12-04
FSLR,First Solar,0001274494,Information Technology,Semiconductors,"Tempe, Arizona",1999,2009-10-16,2017-03-20
FTI,TechnipFMC plc,0001681459,Industrials,,,,2009-06-05,2021-02-12
FTNT,Fortinet,0001262039,Information Technology,Systems Software,"Sunnyvale, California",2000,2018-10-11,
FTR,,0000020520,Communication Services,,,,2001-02-27,2017-03-20
FTV,Fortive,0001659166,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2016,2016-07-05,
FWLT,,0000038321,Industrials,,,,1996-01-02,2000-01-31
G,Genpact LTD,0001398659,Industrials,,,,1996-01-02,2005-10-03
GAPTQ,,0000043300,Consumer Staples,,,,1996-01-02,2000-08-30
GAS,,0001004155,Energy,,,,1996-01-02,2016-07-01
GD,General Dynamics,0000040533,Industrials,Aerospace & Defense,"Reston, Virginia",1899,1996-01-02,
GDDY,GoDaddy,0001609711,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",1997,2024-06-24,
GDT,,0000929987,Health Care,,,,1996-12-19,2006-04-24
GDW,,0000042293,Financials,,,,1996-01-02,2006-10-02
GE,GE Aerospace,0000040545,Industrials,Aerospace & Defense,"Evendale, Ohio",1892,1996-01-02,
GEHC,GE HealthCare,0001932393,Health Care,Health Care Equipment,"Chicago, Illinois",1994,2023-01-04,
GEN,Gen Digital,0000849399,Information Technology,Systems Software,"Tempe, Arizona",1982,2003-03-31,2022-11-08
GENZ,,0000732485,Health Care,,,,2001-12-14,2011-04-04
GEV,GE Vernova,0001996810,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024,2024-04-03,
GGP,,0001496048,Real Estate,,,,2007-07-02,2018-08-28
GHC,Graham Holdings Co,0000104889,Consumer Discretionary,,,,2007-12-31,2014-09-22
GILD,Gilead Sciences,0000882095,Health Care,Biotechnology,"Foster City, California",1987,2004-07-01,
GIS,General Mills,0000040704,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1856,1996-01-02,
GL,Globe Life,0000320335,Financials,Life & Health Insurance,"McKinney, Texas",1900,1996-01-02,2019-08-08
GLD,SPDR GOLD TRUST,0001222333,Financials,,,,1996-01-02,1997-05-06
GLK,,0000043362,Materials,,,,1996-01-02,2005-07-05
GLW,Corning Inc.,0000024741,Information Technology,Electronic Components,"Corning, New York",1851,1996-01-02,
GM,General Motors,0001467858,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1908,2013-06-07,
GMCR,,0000909954,Consumer Staples,,,,2014-03-24,2016-03-03
GME,GameStop Corp.,0001326380,Consumer Discretionary,,,,2007-12-14,2016-04-25
GNRC,Generac,0001474735,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",1959,2021-03-22,
GNW,GENWORTH FINANCIAL INC,0001276520,Financials,,,,2005-12-02,2015-11-18
GOOG,Alphabet Inc. (Class A),0001652044,Communication Services,Interactive Media & Services,"Mountain View, California",1998,2006-04-03,
GPC,Genuine Parts Company,0000040987,Consumer Discretionary,Distributors,"Atlanta, Georgia",1925,1996-01-02,
GPN,Global Payments,0001123360,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2000,2016-04-25,
GPS,,0000039911,Consumer Discretionary,,,,1996-01-02,2022-02-02
GPU,,0000040779,Utilities,,,,1996-01-02,2001-11-07
GR,,0000042542,Industrials,,,,1996-01-02,2012-07-27
GRA,,0001045309,Materials,,,,1996-01-02,2000-12-11
GRMN,Garmin,0001121788,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1989,2012-12-12,
GS,Goldman Sachs,0000886982,Financials,Investment Banking & Brokerage,"New York City, New York",1869,2002-07-22,
GT,GOODYEAR TIRE & RUBBER CO /OH/,0000042582,Materials,,,,1996-01-02,2019-02-27
GTE,GRAN TIERRA ENERGY INC.,0001273441,Energy,,,,1996-01-02,2000-07-03
GTW,,0000895812,Information Technology,,,,1998-04-27,2006-08-01
GWW,W. W. Grainger,0000277135,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1927,1996-01-02,
GX,,0001061322,Communication Services,,,,1999-09-29,2001-10-10
H,Hyatt Hotels Corp,0001468174,Consumer Discretionary,,,,1996-01-02,2007-04-10
HAL,Halliburton,0000045012,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1919,1996-01-02,
HAR,,0000800459,Consumer Discretionary,,,,2006-02-01,2017-03-13
HAS,Hasbro,0000046080,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1923,1996-01-02,
HBAN,Huntington Bancshares,0000049196,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1866,1997-08-06,
HBI,,0001359841,Consumer Discretionary,,,,2015-03-23,2021-12-20
HCA,HCA Healthcare,0000860730,Health Care,Health Care Facilities,"Nashville, Tennessee",1968,1996-01-02,2006-11-20
HCBK,,0000921847,Financials,,,,2007-02-15,2015-11-02
HCP,Healthpeak Properties,0000765880,Real Estate,Health Care REITs,"Denver, Colorado",1985,2008-03-31,2024-03-04
HCR,,0000878736,Health Care,,,,1998-09-28,2007-11-09
HD,Home Depot (The),0000354950,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1978,1996-01-02,
HES,,0000004447,Energy,,,,1996-01-02,2025-07-23
HET,,0000858339,Consumer Discretionary,,,,1996-01-02,2008-01-29
HFC,,0000048039,Energy,,,,2018-06-18,2021-06-04
HI,,0000354964,Financials,,,,1996-01-02,2003-03-31
HIG,Hartford (The),0000874766,Financials,Property & Casualty Insurance,"Hartford, Connecticut",1810,1996-01-02,
HII,Huntington Ingalls Industries,0001501585,Industrials,Aerospace & Defense,"Newport News, Virginia",2011,2018-01-03,
HLT,Hilton Worldwide,0001585689,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1919,1996-01-02,2007-10-25
HM,,0000743872,Materials,,,,1996-01-02,2001-12-17
HMA,,0000792985,Health Care,,,,2001-11-07,2007-03-02
HNZ,,0000046640,Consumer Staples,,,,1996-01-02,2013-06-07
HOG,"HARLEY-DAVIDSON, INC.",0000793952,Consumer Discretionary,,,,2000-01-31,2020-06-22
HOLX,,0000859737,Health Care,,,,2016-03-30,2026-04-09
HON,Honeywell,0000773840,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1906,1996-01-02,
HOOD,Robinhood Markets,0001783879,Financials,Investment Banking & Brokerage,"Menlo Park, California",2013,2025-09-22,
HOT,,0000316206,Consumer Discretionary,,,,2000-11-17,2016-09-23
HP,"Helmerich & Payne, Inc.",0000046765,Energy,,,,1996-01-02,2020-05-22
HPC,,0000046989,Materials,,,,1996-01-02,2008-11-14
HPE,Hewlett Packard Enterprise,0001645590,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015,2015-11-02,
HPQ,HP Inc.,0000047217,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939 (2015),1996-01-02,
HRB,H&R BLOCK INC,0000012659,Consumer Discretionary,,,,1996-01-02,2020-09-21
HRL,Hormel Foods,0000048465,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",1891,2009-03-04,
HRS,L3Harris,0000202058,Industrials,Aerospace & Defense,"Melbourne, Florida","2019 (L3 1997, Harris 1895)",1996-01-02,2019-06-01
HSH,,0000023666,Consumer Staples,,,,1996-01-02,2012-06-29
HSIC,Henry Schein,0001000228,Health Care,Health Care Distributors,"Melville, New York",1932,2015-03-18,
HSP,,0001274057,Health Care,,,,2004-05-03,2015-09-03
HST,Host Hotels & Resorts,0001070750,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1993,2007-03-20,
HSY,Hershey Company (The),0000047111,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894,1996-01-02,
HUBB,Hubbell Incorporated,0000048898,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",1888,2023-10-18,
HUM,Humana,0000049071,Health Care,Managed Health Care,"Louisville, Kentucky",1961,1996-01-02,
HWM,Howmet Aerospace,0000004281,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1888,1996-01-02,2020-04-06
IAC,People Inc,0001800227,Communication Services,,,,2006-12-01,2008-08-21
IBKR,Interactive Brokers,0001381197,Financials,Investment Banking & Brokerage,"Greenwich, Connecticut",1977,2025-08-28,
IBM,IBM,0000051143,Information Technology,IT Consulting & Other Services,"Armonk, New York",1911,1996-01-02,
ICE,Intercontinental Exchange,0001571949,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2000,2007-09-26,
IDXX,Idexx Laboratories,0000874716,Health Care,Health Care Equipment,"Westbrook, Maine",1983,2017-01-05,
IEX,IDEX Corporation,0000832101,Industrials,Industrial Machinery & Supplies & Components,"Northbrook, Illinois",1988,2019-08-09,
IFF,International Flavors & Fragrances,0000051253,Materials,Specialty Chemicals,"New York City, New York",1958 (1889),1996-01-02,
IGT,,0000353944,Consumer Discretionary,,,,2001-09-04,2014-06-20
IKN,,0000003370,Industrials,,,,1996-01-02,2000-06-29
ILMN,"ILLUMINA, INC.",0001110803,Health Care,,,,2015-11-19,2024-06-24
IMNX,,0000719529,Health Care,,,,2001-09-21,2002-07-16
INCLF,,0000049996,Materials,,,,1996-01-02,2002-07-22
INCY,Incyte,0000879169,Health Care,Biotechnology,"Wilmington, Delaware",1991,2017-02-28,
INFO,,0001598014,Information Technology,,,,2017-06-02,2022-03-02
INGR,Ingredion Inc,0001046257,Consumer Staples,,,,1996-01-02,1997-07-28
INTC,Intel,0000050863,Information Technology,Semiconductors,"Santa Clara, California",1968,1996-01-02,
INTU,Intuit,0000896878,Information Technology,Application Software,"Mountain View, California",1983,2000-12-11,
INVH,Invitation Homes,0001687229,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2012,2022-09-19,
IP,International Paper,0000051434,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1898,1996-01-02,
IPG,,0000051644,Communication Services,,,,1996-01-02,2025-11-28
IPGP,IPG PHOTONICS CORP,0001111928,Information Technology,,,,2018-03-07,2022-06-21
IQV,IQVIA,0001478242,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1982,2017-08-29,
IR,Ingersoll Rand,0001699150,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",1859,1996-01-02,2009-07-01
IRM,Iron Mountain,0001020569,Real Estate,Other Specialized REITs,"Portsmouth, New Hampshire",1951,2009-01-06,
ISRG,Intuitive Surgical,0001035267,Health Care,Health Care Equipment,"Sunnyvale, California",1995,2008-06-02,
IT,Gartner,0000749251,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",1979,2017-04-05,
ITT,ITT INC.,0000216228,Industrials,,,,1996-01-02,2011-11-01
ITW,Illinois Tool Works,0000049826,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1912,1996-01-02,
IVZ,Invesco,0000914208,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",1935,2008-08-21,
J,Jacobs Solutions,0000052988,Industrials,Construction & Engineering,"Dallas, Texas",1947,2007-10-26,2019-12-10
JAVA,,0000709519,Information Technology,,,,1996-01-02,2010-01-27
JBHT,J.B. Hunt,0000728535,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",1961,2015-07-01,
JBL,Jabil,0000898293,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",1966,2001-01-30,2014-11-05
JCI,Johnson Controls,0000833444,Industrials,Building Products,"Cork, Ireland",1885,1996-01-02,
JCP,,0001166126,Consumer Discretionary,,,,1996-01-02,2013-12-02
JEC,Jacobs Solutions,0000052988,Industrials,Construction & Engineering,"Dallas, Texas",1947,2007-10-26,2019-12-10
JEF,Jefferies Financial Group Inc.,0000096223,Financials,,,,2007-08-27,2019-09-26
JHF,,0000736260,Financials,,,,2001-06-29,2004-04-29
JKHY,Jack Henry & Associates,0000779152,Financials,Transaction & Payment Processing Services,"Monett, Missouri",1976,2018-11-13,
JNJ,Johnson & Johnson,0000200406,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1886,1996-01-02,
JNPR,,0001043604,Information Technology,,,,2006-06-02,2025-07-09
JNS,,0001065865,Financials,,,,2000-07-13,2011-11-23
JNY,,0000874016,Consumer Discretionary,,,,2001-12-17,2009-03-04
JOS,,0000054050,Consumer Discretionary,,,,1996-01-02,2000-05-10
JOY,,0000801898,Industrials,,,,2011-02-28,2015-10-08
JP,,0000053347,Financials,,,,1996-01-02,2006-04-03
JPM,JPMorgan Chase,0000019617,Financials,Diversified Banks,"New York City, New York",2000 (1799 / 1871),1996-01-02,
JWN,,0000072333,Consumer Discretionary,,,,1996-01-02,2020-06-22
K,,0000055067,Consumer Staples,,,,1996-01-02,2025-12-11
KATE,,0000352363,Consumer Discretionary,,,,1996-01-02,2008-12-02
KBH,KB HOME,0000795266,Consumer Discretionary,,,,1996-01-02,2009-12-21
KDP,Keurig Dr Pepper,0001418135,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",1981,2008-10-07,2018-07-02
KEY,KeyCorp,0000091576,Financials,Regional Banks,"Cleveland, Ohio",1825,1996-01-02,
KEYS,Keysight Technologies,0001601046,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2014 (1939),2018-11-06,
KG,Kestrel Group Ltd,0002055116,Financials,,,,2000-10-03,2010-12-20
KHC,Kraft Heinz,0001637459,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015 (1869),2015-07-06,
KIM,Kimco Realty,0000879101,Real Estate,Retail REITs,"Jericho, New York",1958,2006-04-03,
KKR,KKR & Co.,0001404912,Financials,Asset Management & Custody Banks,"New York City, New York",1976,2024-06-24,
KLAC,KLA Corporation,0000319201,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1975/1977 (1997),1997-09-15,
KM,,0000056824,Consumer Staples,,,,1996-01-02,2002-01-17
KMB,Kimberly-Clark,0000055785,Consumer Staples,Household Products,"Irving, Texas",1872,1996-01-02,
KMG,,0001141185,Energy,,,,1996-01-02,2006-08-11
KMG_B,,0001141185,Energy,,,,1996-01-02,2006-08-11
KMI,Kinder Morgan,0001506307,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1997,2000-12-12,2007-05-31
KMX,CARMAX INC,0001170010,Consumer Discretionary,,,,2010-06-28,2025-10-31
KO,Coca-Cola Company (The),0000021344,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1886,1996-01-02,
KR,Kroger,0000056873,Consumer Staples,Food Retail,"Cincinnati, Ohio",1883,1996-01-02,
KRB,,0000870517,Financials,,,,1996-01-02,2006-01-03
KRFT,,0001545158,Consumer Staples,,,,2012-10-02,2015-07-06
KRI,,0000205520,Communication Services,,,,1996-01-02,2006-06-28
KSE,,0001062379,Energy,,,,2000-08-21,2007-08-27
KSS,KOHLS Corp,0000885639,Consumer Discretionary,,,,1998-08-14,2020-09-21
KSU,,0000054480,Industrials,,,,1999-04-05,2021-12-14
KVUE,Kenvue,0001944048,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2022 (Johnson & Johnson spinoff),2023-08-25,
L,Loews Corporation,0000060086,Financials,Multi-line Insurance,"New York City, New York",1959,1996-01-02,
LB,LandBridge Co LLC,0001995807,Energy,,,,1996-01-02,2021-08-03
LDG,,0000764762,Consumer Staples,,,,1996-01-02,2001-07-02
LDOS,Leidos,0001336920,Industrials,Diversified Support Services,"Reston, Virginia",1969,2009-12-21,2013-09-23
LEG,LEGGETT & PLATT INC,0000058492,Consumer Discretionary,,,,1999-10-18,2021-12-20
LEHMQ,,0000806085,Financials,,,,1998-01-12,2008-09-17
LEN,Lennar,0000920760,Consumer Discretionary,Homebuilding,"Miami, Florida",1954,2005-10-04,
LH,Labcorp,0000920148,Health Care,Health Care Services,"Burlington, North Carolina",1978,2004-11-01,
LHX,L3Harris,0000202058,Industrials,Aerospace & Defense,"Melbourne, Florida","2019 (L3 1997, Harris 1895)",1996-01-02,2019-06-01
LIFE,Ethos Technologies Inc.,0001788451,Financials,,,,2008-11-24,2014-01-24
LII,Lennox International,0001069202,Industrials,Building Products,"Richardson, Texas",1895,2024-12-23,
LIN,Linde plc,0001707925,Materials,Industrial Gases,"Guildford, United Kingdom",1879,2018-11-06,
LITE,Lumentum,0001633978,Information Technology,Communications Equipment,"San Jose, California",2015,2026-03-23,
LKQ,LKQ CORP,0001065696,Industrials,,,,2016-05-23,2025-12-22
LLL,,0001056239,Information Technology,,,,2004-12-01,2019-07-01
LLTC,,0000791907,Information Technology,,,,2000-04-03,2017-03-13
LLY,Lilly (Eli),0000059478,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1876,1996-01-02,
LM,,0000704051,Financials,,,,2006-04-24,2016-12-02
LMT,Lockheed Martin,0000936468,Industrials,Aerospace & Defense,"Bethesda, Maryland",1995,1996-01-02,
LNC,LINCOLN NATIONAL CORP,0000059558,Financials,,,,1996-01-02,2023-09-18
LNT,Alliant Energy,0000352541,Utilities,Electric Utilities,"Madison, Wisconsin",1917,2016-07-01,
LO,,0001424847,Consumer Staples,,,,2008-06-11,2015-06-12
LOW,Lowe's,0000060667,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959,1996-01-02,
LPX,LOUISIANA-PACIFIC CORP,0000060519,Industrials,,,,1996-01-02,2006-11-10
LRCX,Lam Research,0000707549,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",1980,2012-06-05,
LSI,,0000703360,Information Technology,,,,1996-01-02,2014-05-07
LULU,Lululemon Athletica,0001397187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",1998,2023-10-18,
LUMN,"Lumen Technologies, Inc.",0000018926,Communication Services,,,,1999-03-25,2023-03-20
